LineItemType,InventoryTypes,CreativeSize,AdUnit,Type,Platform,Format,Description
SPONSORSHIP,Web,300 x 250,_1,直接銷售,Web,LREC 1,2 直接銷售 web LREC 1
SPONSORSHIP,Other,300 x 250,_1,直接銷售,Web,LREC 1,2 直接銷售 web LREC 1
STANDARD,Web,300 x 250,_1,直接銷售,Web,LREC 1,2 直接銷售 web LREC 1
STANDARD,Other,300 x 250,_1,直接銷售,Web,LREC 1,2 直接銷售 web LREC 1
SPONSORSHIP,Web,300 x 250,_2,直接銷售,Web,LREC 2,3 直接銷售 web LREC 2
SPONSORSHIP,Other,300 x 250,_2,直接銷售,Web,LREC 2,3 直接銷售 web LREC 2
STANDARD,Web,300 x 250,_2,直接銷售,Web,LREC 2,3 直接銷售 web LREC 2
STANDARD,Other,300 x 250,_2,直接銷售,Web,LREC 2,3 直接銷售 web LREC 2
SPONSORSHIP,Web,300 x 250,_3,直接銷售,Web,LREC 3/4,4 直接銷售 web LREC 3 / 4
SPONSORSHIP,Other,300 x 250,_3,直接銷售,Web,LREC 3/4,4 直接銷售 web LREC 3 / 4
STANDARD,Web,300 x 250,_3,直接銷售,Web,LREC 3/4,4 直接銷售 web LREC 3 / 4
STANDARD,Other,300 x 250,_3,直接銷售,Web,LREC 3/4,4 直接銷售 web LREC 3 / 4
SPONSORSHIP,Web,300 x 250,_4,直接銷售,Web,LREC 3/4,4 直接銷售 web LREC 3 / 4
SPONSORSHIP,Other,300 x 250,_4,直接銷售,Web,LREC 3/4,4 直接銷售 web LREC 3 / 4
STANDARD,Web,300 x 250,_4,直接銷售,Web,LREC 3/4,4 直接銷售 web LREC 3 / 4
STANDARD,Other,300 x 250,_4,直接銷售,Web,LREC 3/4,4 直接銷售 web LREC 3 / 4
SPONSORSHIP,Web,640 x 360v,website,直接銷售,Web,Pre-roll Ad,7 直接銷售 web Pre-roll Ad
SPONSORSHIP,Other,640 x 360v,website,直接銷售,Web,Pre-roll Ad,7 直接銷售 web Pre-roll Ad
STANDARD,Web,640 x 360v,website,直接銷售,Web,Pre-roll Ad,7 直接銷售 web Pre-roll Ad
STANDARD,Other,640 x 360v,website,直接銷售,Web,Pre-roll Ad,7 直接銷售 web Pre-roll Ad
